Artistname,FamousLevel,genre,Link
Dâmares Gomes,39,christian alternative rock,https://open.spotify.com/artist/5vH1WRgVmc2mwF0iXgOibC
Dâmares Gomes,39,christian folk,https://open.spotify.com/artist/5vH1WRgVmc2mwF0iXgOibC
Dâmares Gomes,39,cedm,https://open.spotify.com/artist/5vH1WRgVmc2mwF0iXgOibC
Anendlessocean,54,african gospel,https://open.spotify.com/artist/43bV8yQzojEPet60WrZJau
Anendlessocean,54,gospel,https://open.spotify.com/artist/43bV8yQzojEPet60WrZJau
Anendlessocean,54,gospel r&b,https://open.spotify.com/artist/43bV8yQzojEPet60WrZJau
Alabaster Co.,44,Unknown Genre,https://open.spotify.com/artist/4g0d1qT8tKu3VcjBHr3FQ2
MUCH MORE,45,christian alternative rock,https://open.spotify.com/artist/0B1cF1eekag30vXyt0YWMs
MUCH MORE,45,christian folk,https://open.spotify.com/artist/0B1cF1eekag30vXyt0YWMs
MUCH MORE,45,gospel r&b,https://open.spotify.com/artist/0B1cF1eekag30vXyt0YWMs
MUCH MORE,45,pop worship,https://open.spotify.com/artist/0B1cF1eekag30vXyt0YWMs
MUCH MORE,45,christian pop,https://open.spotify.com/artist/0B1cF1eekag30vXyt0YWMs
MUCH MORE,45,christian,https://open.spotify.com/artist/0B1cF1eekag30vXyt0YWMs
Caleb Bachtel,31,worship,https://open.spotify.com/artist/2ezPNfNGOAwgmDCX51mhf3
Lord's Child,49,gospel r&b,https://open.spotify.com/artist/14EkDZQXCL0J9CpQ1tKIKC
Moses Bliss,60,african gospel,https://open.spotify.com/artist/79MTG7HPurBgQ0ilwJ4AgM
Moses Bliss,60,gospel,https://open.spotify.com/artist/79MTG7HPurBgQ0ilwJ4AgM
Moses Bliss,60,worship,https://open.spotify.com/artist/79MTG7HPurBgQ0ilwJ4AgM
Sondae,60,gospel r&b,https://open.spotify.com/artist/2PCl4hx9Qds8sjcnoWUdqp
Sondae,60,christian,https://open.spotify.com/artist/2PCl4hx9Qds8sjcnoWUdqp
Sondae,60,gospel,https://open.spotify.com/artist/2PCl4hx9Qds8sjcnoWUdqp
Sondae,60,christian pop,https://open.spotify.com/artist/2PCl4hx9Qds8sjcnoWUdqp
Sondae,60,christian hip hop,https://open.spotify.com/artist/2PCl4hx9Qds8sjcnoWUdqp
Sondae,60,pop worship,https://open.spotify.com/artist/2PCl4hx9Qds8sjcnoWUdqp
Sondae,60,worship,https://open.spotify.com/artist/2PCl4hx9Qds8sjcnoWUdqp
CèJae,50,gospel r&b,https://open.spotify.com/artist/15AlBadiR2gLPibtqELUH3
CèJae,50,christian,https://open.spotify.com/artist/15AlBadiR2gLPibtqELUH3
CèJae,50,gospel,https://open.spotify.com/artist/15AlBadiR2gLPibtqELUH3
Annatoria,52,gospel r&b,https://open.spotify.com/artist/6008gjU9UTUCfLZoSun5SH
Annatoria,52,african gospel,https://open.spotify.com/artist/6008gjU9UTUCfLZoSun5SH
Annatoria,52,gospel,https://open.spotify.com/artist/6008gjU9UTUCfLZoSun5SH
Madison Ryann Ward,60,gospel r&b,https://open.spotify.com/artist/6eAUAR4N9NOpirukqdIzVI
Terrian,60,gospel r&b,https://open.spotify.com/artist/19TPpTWkgX13Qc2stbqVoP
Terrian,60,christian pop,https://open.spotify.com/artist/19TPpTWkgX13Qc2stbqVoP
Terrian,60,pop worship,https://open.spotify.com/artist/19TPpTWkgX13Qc2stbqVoP
Terrian,60,christian,https://open.spotify.com/artist/19TPpTWkgX13Qc2stbqVoP
Terrian,60,worship,https://open.spotify.com/artist/19TPpTWkgX13Qc2stbqVoP
Terrian,60,gospel,https://open.spotify.com/artist/19TPpTWkgX13Qc2stbqVoP
Jonny Henninger,42,gospel r&b,https://open.spotify.com/artist/1L9zhXcitRv35NwUZmwBZ4
Jonny Henninger,42,christian alternative rock,https://open.spotify.com/artist/1L9zhXcitRv35NwUZmwBZ4
Jonny Henninger,42,christian pop,https://open.spotify.com/artist/1L9zhXcitRv35NwUZmwBZ4
Jonny Henninger,42,pop worship,https://open.spotify.com/artist/1L9zhXcitRv35NwUZmwBZ4
Jonny Henninger,42,christian,https://open.spotify.com/artist/1L9zhXcitRv35NwUZmwBZ4
